
🕒 2025-01-05 04:44:52+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 04:46:36+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 05:57:38+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 06:29:28+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 06:29:31+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 06:56:30+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-05 07:58:50+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-05 09:56:52+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-05 09:57:56+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-05 10:19:54+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 10:20:01+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 10:20:05+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 10:20:06+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 10:20:14+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-05 12:31:21+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 12:31:24+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 12:31:25+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 16:06:01+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 17:17:35+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 17:17:36+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 17:17:37+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 17:17:38+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 17:17:43+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 17:17:44+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 17:27:53+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-05 17:28:45+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-05 17:55:50+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-05 19:02:14+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 19:02:17+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 19:02:19+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 19:02:24+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
